Customer_ID,Customer_Name,Customer_Type,Industry,Segment,Country,City,Postal_Code,Registration_Date,Region_ID
90,Collins LLC,Individual,Manufacturing,Corporate,Switzerland,Zurich,35051,2023-03-11,16
91,Schneider-Rangel,Company,Retail,Small Business,Germany,Frankfurt,08455,2026-02-17,2
92,Moore Inc,Company,Manufacturing,Small Business,France,Lyon,91900,2023-05-08,1
93,"Thomas, Green and Moore",Individual,Telecommunications,Small Business,France,Marseille,95482,2023-04-09,1
94,Richard-Brown,Company,Telecommunications,Small Business,Netherlands,Amsterdam,37872,2022-11-29,12
95,Anderson-Walsh,Company,Finance,Corporate,Belgium,Brussels,20722,2022-08-12,18
96,"Cobb, Williams and White",Individual,IT,Consumer,Netherlands,Amsterdam,14350,2023-01-14,19
97,Flores-Ryan,Company,Finance,Consumer,Austria,Vienna,51097,2023-05-09,11
98,Jones Group,Individual,Logistics,Corporate,Netherlands,Amsterdam,51924,2024-09-16,19
99,Brown and Sons,Individual,Healthcare,Corporate,Netherlands,Amsterdam,18074,2025-05-23,19
100,"Perkins, Martin and Massey",Individual,Retail,Corporate,Italy,Rome,91329,2023-12-26,16
101,"Sharp, Fox and Robinson",Individual,Logistics,Small Business,Italy,Milan,32842,2025-05-17,16
102,Vargas LLC,Individual,Retail,Consumer,France,Marseille,66341,2026-05-13,4
103,Garrett-Patel,Company,Healthcare,Small Business,Austria,Vienna,01313,2023-03-08,10
104,Bell-Jimenez,Individual,Retail,Small Business,Germany,Munich,56854,2022-11-15,6
105,Frazier LLC,Company,Logistics,Corporate,Belgium,Brussels,03009,2025-05-11,6
106,"Estrada, Davis and Riggs",Individual,Retail,Small Business,Spain,Madrid,81498,2025-01-16,8
107,"Mack, Watkins and Pace",Individual,Retail,Consumer,Netherlands,Amsterdam,02081,2023-11-24,8
108,Navarro-Ballard,Individual,Telecommunications,Consumer,Belgium,Brussels,10302,2022-10-01,3
109,"Benson, Mercado and Manning",Company,Education,Small Business,Switzerland,Zurich,56823,2025-08-14,2
110,Johnson and Sons,Company,Logistics,Corporate,Switzerland,Zurich,40537,2023-06-26,6
111,Kirk LLC,Individual,Manufacturing,Corporate,Netherlands,Amsterdam,25276,2023-08-17,13
112,"King, Wilkerson and Peters",Individual,Finance,Corporate,Germany,Hamburg,11880,2025-10-25,3
113,David Inc,Company,Education,Consumer,Austria,Vienna,78110,2024-05-17,14
114,"Harrell, Dunn and Martinez",Company,Healthcare,Consumer,Switzerland,Zurich,90333,2025-11-25,11
115,Roberts-Herrera,Company,Education,Consumer,Italy,Rome,18891,2026-05-31,18
116,Clark-Tucker,Individual,Manufacturing,Corporate,Spain,Madrid,27827,2022-08-27,17
117,Goodwin-Fisher,Company,Logistics,Corporate,France,Marseille,09550,2024-12-13,3
118,Briggs-Jones,Individual,Logistics,Consumer,Belgium,Brussels,24296,2025-03-19,13
119,Guzman Group,Company,Logistics,Consumer,Austria,Vienna,98532,2023-11-27,1
120,"Knight, Ellis and Patton",Individual,Retail,Small Business,Germany,Frankfurt,77452,2025-07-19,7
121,"Cruz, Mcneil and Williams",Individual,IT,Corporate,Netherlands,Amsterdam,47904,2026-07-18,6
122,Porter and Sons,Company,Finance,Corporate,Spain,Barcelona,28108,2024-02-08,6
123,"Reed, Scott and Spencer",Company,Logistics,Consumer,Germany,Hamburg,81948,2024-09-23,1
124,Clark and Sons,Individual,Retail,Corporate,Germany,Frankfurt,56997,2023-11-18,16
125,Flores-Potts,Individual,Manufacturing,Small Business,Netherlands,Amsterdam,34488,2024-03-30,12
126,Carter and Sons,Company,Education,Small Business,Spain,Barcelona,09603,2025-07-22,1
127,"Kent, Lane and Reeves",Individual,Telecommunications,Small Business,France,Lyon,40667,2025-10-12,17
128,Patterson Ltd,Company,IT,Corporate,Germany,Munich,84254,2022-08-11,15
129,Smith LLC,Individual,Finance,Consumer,Austria,Vienna,95413,2024-06-03,15
130,Peterson PLC,Company,Education,Small Business,Spain,Barcelona,25567,2024-10-24,8
131,Sanchez-Collins,Company,Logistics,Small Business,France,Paris,15604,2023-11-03,18
132,Flores PLC,Company,IT,Small Business,Belgium,Brussels,14387,2025-01-18,13
133,"Mclaughlin, Sullivan and Ochoa",Individual,Finance,Small Business,Switzerland,Zurich,05628,2024-06-21,12
134,"Acosta, Stewart and Jones",Individual,IT,Small Business,Italy,Milan,44737,2024-01-20,10
135,Lynn-Hurst,Company,Finance,Consumer,Germany,Cologne,28034,2023-10-20,20
136,"Butler, Brown and Tucker",Company,Education,Consumer,Netherlands,Amsterdam,26966,2025-05-30,19
137,Taylor-Duran,Company,IT,Corporate,Austria,Vienna,41078,2023-02-27,14
138,"Chan, Hayes and Gonzales",Individual,Finance,Consumer,France,Marseille,37702,2023-12-06,18
139,Krueger PLC,Company,Telecommunications,Corporate,Netherlands,Amsterdam,00926,2025-02-03,8
140,Gardner Ltd,Individual,Manufacturing,Corporate,Netherlands,Amsterdam,85615,2023-08-26,14
141,Mays-Baxter,Company,Finance,Consumer,Netherlands,Amsterdam,36544,2022-12-31,9
142,"Howard, Garcia and Durham",Individual,Manufacturing,Corporate,Netherlands,Amsterdam,72933,2024-06-09,6
143,"Smith, Shepard and Davis",Company,Logistics,Small Business,Switzerland,Zurich,44089,2025-07-01,16
144,Garcia Inc,Company,Retail,Corporate,Belgium,Brussels,58605,2024-06-24,11
145,"Wright, Francis and Thomas",Company,Finance,Consumer,Italy,Rome,53339,2023-06-28,14
146,Nolan-Melton,Individual,Manufacturing,Corporate,Germany,Hamburg,07717,2024-03-01,5
147,"Rogers, Nguyen and Cox",Company,Finance,Corporate,Netherlands,Amsterdam,69706,2023-02-16,15
148,"Maldonado, Clayton and Davis",Individual,Logistics,Small Business,Germany,Frankfurt,71563,2024-01-28,10
149,Preston Ltd,Company,Telecommunications,Small Business,Switzerland,Zurich,91592,2024-12-21,2
150,Norris Inc,Company,Logistics,Small Business,Netherlands,Amsterdam,14762,2024-07-15,2
151,"Lopez, Ortiz and Smith",Company,Education,Consumer,France,Marseille,99275,2023-05-11,20
152,Lewis PLC,Company,Telecommunications,Consumer,France,Marseille,68277,2025-10-25,17
153,Bowman-Banks,Company,Manufacturing,Consumer,Germany,Cologne,83653,2023-08-31,16
154,"Aguilar, Johnson and Cruz",Individual,Healthcare,Consumer,Switzerland,Zurich,41651,2024-06-17,18
155,Parker-Pierce,Company,Logistics,Consumer,France,Marseille,11998,2023-02-05,3
156,"Cox, Johnson and Lane",Individual,Retail,Consumer,Spain,Madrid,45224,2025-11-04,18
157,"King, Mullen and Rodgers",Individual,Education,Corporate,France,Lyon,56996,2024-04-19,2
158,Morrison PLC,Individual,Finance,Small Business,Italy,Milan,09832,2024-06-05,15
159,"Lane, Fletcher and Wagner",Individual,Education,Corporate,Netherlands,Amsterdam,96350,2025-01-15,7
160,"Garza, Thomas and Nunez",Individual,Finance,Corporate,Austria,Vienna,40532,2023-05-05,14
161,Lewis LLC,Individual,Finance,Corporate,France,Lyon,27284,2024-02-23,10
162,Zhang and Sons,Company,Logistics,Consumer,Switzerland,Zurich,83363,2023-08-15,1
163,Adams Group,Company,Finance,Corporate,Netherlands,Amsterdam,87476,2024-12-13,19
164,Jones-Crawford,Company,Finance,Consumer,France,Lyon,77429,2025-12-05,9
165,"Bonilla, Smith and Lopez",Individual,Healthcare,Consumer,Netherlands,Amsterdam,78065,2023-11-15,20
166,Walker-Chavez,Individual,Logistics,Small Business,France,Marseille,10107,2022-10-03,3
167,Garcia LLC,Company,IT,Small Business,Italy,Milan,34102,2024-11-06,10
168,Lee LLC,Company,Education,Small Business,Germany,Hamburg,66602,2023-08-20,15
169,"Russo, Maldonado and Roy",Individual,Healthcare,Corporate,Spain,Barcelona,58522,2023-05-14,14
170,"Gonzalez, Williams and Bennett",Company,Finance,Small Business,Switzerland,Zurich,44812,2023-05-14,3
171,"Dixon, Jackson and Ramos",Individual,IT,Small Business,Belgium,Brussels,23934,2024-07-06,15
172,Smith-Quinn,Individual,Telecommunications,Consumer,Netherlands,Amsterdam,57616,2023-10-31,16
173,Pittman Group,Individual,Healthcare,Consumer,Austria,Vienna,47515,2024-04-18,4
174,Myers Group,Company,IT,Consumer,Germany,Hamburg,12226,2025-06-28,12
175,George Ltd,Company,Healthcare,Small Business,Italy,Milan,16770,2023-10-14,10
176,Evans-Pierce,Individual,Telecommunications,Small Business,Austria,Vienna,03696,2023-01-02,1
177,Hanna-Diaz,Company,Logistics,Small Business,Netherlands,Amsterdam,04597,2025-04-11,8
178,Levy-Gonzales,Individual,Manufacturing,Corporate,Italy,Rome,03266,2022-09-10,12
179,Moore-Mccann,Company,Healthcare,Corporate,Netherlands,Amsterdam,70310,2025-01-08,11
180,"Rice, Meyer and Fernandez",Individual,Finance,Corporate,Austria,Vienna,18471,2025-05-12,18
181,Collins LLC,Company,Education,Consumer,France,Lyon,38779,2025-03-08,3
182,Rios PLC,Individual,Healthcare,Small Business,Austria,Vienna,07245,2025-12-18,14
183,Gordon Group,Company,Healthcare,Corporate,Italy,Milan,39752,2026-06-30,16
184,"Sandoval, Raymond and Valencia",Company,Retail,Consumer,Spain,Madrid,37995,2025-08-13,19
185,"Hunter, Padilla and Lawson",Company,IT,Small Business,Germany,Cologne,50607,2024-03-05,2
186,Pollard Group,Individual,Retail,Corporate,Belgium,Brussels,94728,2025-07-12,10
187,Sanders Ltd,Individual,IT,Consumer,Germany,Frankfurt,70034,2025-12-09,9
188,Martin-Miller,Individual,Healthcare,Consumer,Belgium,Brussels,02975,2025-04-02,15
189,"Mendoza, Oliver and Martinez",Company,IT,Consumer,Switzerland,Zurich,63740,2024-11-22,20
190,Douglas Group,Company,Finance,Consumer,Switzerland,Zurich,55134,2022-12-01,6
191,Davis-Moore,Company,Education,Small Business,France,Marseille,73574,2025-04-05,16
192,Garcia-Davis,Individual,Healthcare,Consumer,Switzerland,Zurich,37424,2024-09-03,18
193,Schneider Group,Individual,IT,Corporate,Italy,Milan,07330,2026-01-18,9
194,Santiago and Sons,Individual,Finance,Small Business,Belgium,Brussels,01370,2023-01-06,7
195,Gomez-Gonzalez,Individual,Telecommunications,Small Business,Spain,Barcelona,77569,2025-12-14,15
196,Williams-Hull,Company,Finance,Small Business,Germany,Hamburg,80811,2023-07-10,3
197,Thomas-Howell,Company,Manufacturing,Corporate,Austria,Vienna,48694,2026-02-22,1
198,White and Sons,Individual,Manufacturing,Corporate,Italy,Rome,94889,2024-05-24,3
199,"Williams, Green and Castro",Company,Telecommunications,Consumer,Belgium,Brussels,24095,2024-05-10,7
200,Cross-Scott,Individual,Retail,Corporate,Netherlands,Amsterdam,93913,2025-07-29,4
201,Hanson Group,Company,Telecommunications,Corporate,Germany,Hamburg,36963,2026-01-25,2
202,"Miller, Smith and Meyer",Individual,IT,Consumer,Belgium,Brussels,47595,2022-11-18,6
203,"Choi, Frank and Robertson",Company,Healthcare,Consumer,Netherlands,Amsterdam,79701,2024-09-21,3
204,Mcdonald-Odom,Company,Telecommunications,Small Business,Spain,Barcelona,86376,2025-03-30,20
205,Lucas Ltd,Company,Healthcare,Consumer,Switzerland,Zurich,51261,2022-09-16,1
206,Young-Wilkerson,Company,Retail,Small Business,France,Paris,79715,2026-05-23,1
207,Harris-Martin,Individual,Telecommunications,Corporate,Germany,Munich,83712,2025-03-27,4
208,Medina PLC,Company,Healthcare,Consumer,France,Marseille,51002,2025-03-07,10
209,"Simpson, Rogers and Burton",Company,Finance,Small Business,Spain,Barcelona,55314,2026-06-15,15
210,Krause PLC,Individual,Logistics,Consumer,Switzerland,Zurich,61911,2023-06-03,16
211,"Pearson, Davis and Morton",Individual,Retail,Small Business,Italy,Rome,73997,2024-10-06,7
212,Wilkinson Inc,Company,IT,Consumer,Italy,Rome,72524,2023-03-25,2
213,Mason Inc,Individual,IT,Corporate,Italy,Milan,41937,2024-10-21,13
214,Smith and Sons,Individual,IT,Corporate,Belgium,Brussels,44250,2023-08-02,16
215,Ramos-Brown,Company,IT,Small Business,Switzerland,Zurich,78157,2023-12-03,12
216,Taylor-Knight,Company,Healthcare,Consumer,Austria,Vienna,74174,2022-08-22,2
217,Myers Ltd,Individual,Retail,Small Business,Germany,Frankfurt,15638,2022-08-23,11
218,"Pacheco, Campbell and Cantrell",Individual,Telecommunications,Consumer,Switzerland,Zurich,40235,2025-08-02,18
219,Lopez LLC,Company,Logistics,Corporate,Italy,Rome,44915,2024-10-26,7
220,Mitchell-Young,Company,Education,Consumer,Spain,Madrid,74408,2022-07-26,6
221,"Nguyen, Benson and Golden",Individual,Telecommunications,Corporate,Switzerland,Zurich,62619,2024-08-25,18
222,Cantu-Mendoza,Individual,Manufacturing,Corporate,Netherlands,Amsterdam,17843,2022-09-17,6
223,Padilla and Sons,Company,Retail,Consumer,France,Paris,63485,2024-11-03,12
224,Ayers-Smith,Individual,IT,Corporate,Netherlands,Amsterdam,88838,2023-10-06,3
225,Flowers Ltd,Individual,Retail,Consumer,Netherlands,Amsterdam,63035,2025-11-13,9
226,Morris-Robinson,Individual,Healthcare,Corporate,Spain,Madrid,26591,2025-08-10,8
227,"Martin, Rodriguez and Lopez",Individual,IT,Corporate,Germany,Munich,80850,2025-12-06,19
228,Ward-Santos,Company,IT,Small Business,Switzerland,Zurich,86737,2025-08-13,18
229,Andrews and Sons,Company,Manufacturing,Corporate,Netherlands,Amsterdam,29542,2023-04-14,16
230,Mitchell-Pitts,Company,IT,Consumer,Switzerland,Zurich,96068,2022-11-10,20
231,Sullivan Inc,Company,Finance,Small Business,Austria,Vienna,01181,2024-11-27,4
232,"Lawson, Harris and Scott",Individual,Retail,Corporate,Belgium,Brussels,59593,2023-06-19,2
233,Avila PLC,Company,Education,Consumer,Belgium,Brussels,26893,2022-11-04,15
234,Harrington LLC,Individual,Logistics,Small Business,Spain,Barcelona,85635,2025-11-04,15
235,Scott-Anderson,Individual,Retail,Consumer,Germany,Munich,99596,2026-04-15,15
236,Jarvis-Ramos,Company,Manufacturing,Consumer,Spain,Barcelona,99788,2025-09-04,5
237,"Hendricks, Cochran and Vasquez",Individual,Education,Consumer,Italy,Rome,29828,2024-09-15,17
238,Rodriguez Ltd,Individual,Logistics,Consumer,Germany,Hamburg,53498,2022-11-11,3
239,Cooper and Sons,Company,Logistics,Small Business,France,Lyon,89623,2023-02-16,5
240,"Benjamin, Little and Rivers",Individual,Education,Consumer,Belgium,Brussels,38277,2025-09-19,4
241,Stanton and Sons,Company,Retail,Corporate,Germany,Munich,36430,2023-11-01,16
242,Cowan-Garcia,Company,Retail,Corporate,Italy,Milan,06844,2023-11-16,10
243,Hall-Ortiz,Company,Logistics,Small Business,Netherlands,Amsterdam,95253,2022-07-29,14
244,Lee-Stokes,Company,Manufacturing,Small Business,France,Paris,54137,2024-03-09,8
245,Yang-Lynch,Individual,IT,Consumer,Germany,Cologne,33996,2023-08-06,2
246,"Rogers, Jimenez and Alvarez",Company,Logistics,Corporate,Switzerland,Zurich,25379,2025-12-10,2
247,Craig-Shah,Individual,Telecommunications,Small Business,Netherlands,Amsterdam,11360,2023-08-15,9
248,Wong Group,Individual,IT,Small Business,Austria,Vienna,90923,2024-06-18,14
249,Burgess-Lewis,Company,Education,Consumer,Italy,Milan,48574,2024-08-19,1
250,Davenport Ltd,Individual,Telecommunications,Consumer,Switzerland,Zurich,29148,2022-12-18,6
251,"Gardner, Marquez and Anderson",Individual,Education,Corporate,Belgium,Brussels,35197,2023-03-19,1
252,Osborne and Sons,Company,Education,Corporate,Netherlands,Amsterdam,38849,2024-09-13,12
253,Moore-Martinez,Company,Finance,Consumer,Austria,Vienna,06620,2024-12-20,5
254,"Gould, Elliott and Wyatt",Individual,Finance,Corporate,Netherlands,Amsterdam,45857,2025-06-01,16
255,Chavez LLC,Individual,Healthcare,Small Business,France,Paris,88839,2022-10-07,12
256,"Johnson, Hardin and Salas",Individual,Retail,Small Business,France,Lyon,34363,2022-10-26,8
257,Sullivan-Mccall,Individual,Manufacturing,Consumer,Netherlands,Amsterdam,38352,2025-12-17,2
258,"Phillips, Kennedy and Fuller",Company,Telecommunications,Consumer,Netherlands,Amsterdam,07814,2025-07-20,12
259,"Brown, Banks and Ramirez",Individual,Manufacturing,Corporate,Belgium,Brussels,20421,2024-07-26,11
260,Mahoney-Perry,Individual,Retail,Consumer,Netherlands,Amsterdam,88200,2023-02-02,11
261,Hammond PLC,Company,Education,Consumer,Italy,Rome,07838,2024-09-21,3
262,Thomas LLC,Individual,Retail,Small Business,Germany,Munich,80115,2022-08-09,4
263,Carey Group,Individual,IT,Corporate,Spain,Barcelona,20274,2023-04-19,18
264,Young-Ortiz,Individual,Telecommunications,Consumer,Belgium,Brussels,06458,2024-04-24,16
265,Gonzales-Smith,Individual,Finance,Corporate,Spain,Madrid,93394,2024-11-05,10
266,Greer LLC,Company,IT,Small Business,Belgium,Brussels,94540,2026-04-08,2
267,Herman-Lee,Individual,Telecommunications,Corporate,Italy,Milan,64164,2026-01-23,4
268,Knight Ltd,Individual,Manufacturing,Consumer,Switzerland,Zurich,88927,2024-01-17,20
269,Johnson-Kramer,Individual,Retail,Small Business,Spain,Madrid,72505,2023-04-07,14
270,Marquez Group,Individual,Retail,Consumer,Netherlands,Amsterdam,25654,2022-12-23,17
271,"Sanders, Griffin and Jackson",Individual,IT,Consumer,Switzerland,Zurich,61583,2025-09-21,16
272,"Johnson, Foley and Dunn",Company,Education,Consumer,Germany,Berlin,76996,2024-07-06,11
273,"Morris, Hodges and Jones",Individual,Logistics,Small Business,Italy,Milan,24681,2025-02-07,5
274,Wright Ltd,Company,Retail,Corporate,Switzerland,Zurich,69276,2026-02-10,18
275,Gonzalez-Farley,Individual,Telecommunications,Corporate,Belgium,Brussels,44262,2024-11-19,17
276,Carpenter-Fletcher,Individual,Education,Corporate,Austria,Vienna,10971,2023-11-21,12
277,Ritter Group,Individual,Telecommunications,Corporate,Austria,Vienna,59521,2026-06-16,12
278,Burke LLC,Company,Manufacturing,Small Business,Spain,Barcelona,57739,2022-08-18,3
279,Rowland-Villanueva,Company,IT,Corporate,Switzerland,Zurich,46266,2022-09-30,14
280,"Garrison, Stevenson and Oneill",Individual,Logistics,Consumer,Germany,Munich,84529,2026-05-28,2
281,"Ramirez, Boyd and Robertson",Company,Retail,Corporate,Netherlands,Amsterdam,35479,2022-08-31,2
282,Sanchez-Gonzalez,Individual,Logistics,Consumer,France,Paris,32297,2024-05-31,9
283,"Jones, Gallegos and Hawkins",Company,IT,Corporate,Italy,Rome,01115,2025-01-31,19
284,Hughes Inc,Individual,Manufacturing,Corporate,Spain,Barcelona,31070,2024-03-26,8
285,Wright-Carpenter,Company,Manufacturing,Small Business,Germany,Munich,53938,2022-09-09,9
286,Riley PLC,Company,Finance,Corporate,Spain,Madrid,18517,2024-04-15,14
287,Copeland Inc,Company,Manufacturing,Small Business,Netherlands,Amsterdam,94114,2024-09-05,2
288,"Richardson, Williams and Leonard",Individual,Finance,Corporate,Germany,Hamburg,35638,2024-04-04,1
289,"Young, Glover and Robbins",Individual,Education,Corporate,Spain,Barcelona,77291,2025-02-07,15
290,Gill-Mitchell,Company,Logistics,Corporate,Austria,Vienna,74845,2026-06-09,9
291,Smith Ltd,Individual,Finance,Consumer,France,Marseille,23617,2024-10-12,3
